n,C++-N,C++-L,C++-B-128,C++-B-256,C++-B-512,C++-B-1024,P-N,P-L,PP-N,PP-L,PN-N,PN-L
512,0.8947848533,5.263440314,3.23416212,3.579139413,3.627506162,,0.0157255686,0.01595930178,0.5651272758,0.4061050772,0.4628197517,1.483068818
1024,0.6423821861,6.279191953,4.044225326,3.933120234,4.210752251,4.446135917,0.01418389099,0.01596404734,0.5405194181,0.4060282942,0.3893896007,1.530636955
1536,0.4871459411,6.357681853,4.076353944,4.101730228,4.286077653,,0.01316177892,0.01533131668,0.397551276,0.4034151905,0.3144090453,1.465081324
2048,0.4235981257,5.769082044,4.203540295,4.19328025,4.316550046,4.391582102,0.01284502131,0.01576506496,0.3864031215,0.4030467844,0.3103916816,1.507931992
2560,0.3944563804,5.533560087,4.253834406,4.211148594,4.352630951,,0.01228377895,0.01571310857,0.3853199513,0.4048653684,0.3014042595,1.479211427
3072,0.387096734,5.332361937,4.246837994,4.224557996,4.325405334,4.39791099,0.01235629413,0.01575938585,0.4031823608,0.4077500597,0.2811851183,1.495192204
4096,0.367553609,5.303034522,4.260616079,4.19033975,4.205212296,4.390459797,,,,,,
6144,0.3599042451,5.297942946,4.251312614,4.199962587,4.364352417,4.382743917,,,,,,
8192,0.355686616,5.449115502,4.2438914,4.185060416,4.224098149,4.404794657,,,,,,
10240,0.3558314378,5.26041042,4.243686587,4.189206587,4.372544989,4.372829905,,,,,,